c_id,is_course,name,dept,description,university,professor,related_doc_link,demo_video_link,prereq,overall_rating,overall_count,ind_user_rating,ind_user_count,est_user_rating,est_user_count,uest_user_rating,uest_user_count
CMPE 200,Yes,Computer Architecture,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 220,Yes,System Software,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 240,Yes,Advanced Microcomputer,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 025,Yes,The Digital World and Society,Computer Engineering,"The secure, effective and ethical use of information technology. The effect of such technology on people and institutions. Technology-related challenges to society and policy. Frameworks for the analysis of information technology with respect to its cultural, historical, environmental, and spatial contexts",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 030,Yes, Programming Concepts and Methodology,Computer Engineering,"Introduction to programming; overview of computer organization and introduction to software engineering. Topics include methodologies for program design, development, style, testing, and documentation; algorithms, control structures, functions, and elementary data structures. Prerequisites ENGR 010 Corequisites MATH 030 or equivalent. MATH 071 for BSIT and BS Aviation majors. Misc/Lab Lecture 2 hours/lab 3 hours.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 046 ,Yes,Computer Engineering I,Computer Engineering,"Introduction to computing and computer engineering; problem solving with structured and object-oriented programming using the C++ language. Prerequisites ENGR 010, MATH 030. Misc/Lab Lecture 2 hours/lab 3 hours.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 050,Yes, Object-Oriented Concepts and Methodology,Computer Engineering,"Application of object-oriented software engineering techniques to the design and development of larger programs; data abstraction, structures, classes and associated algorithms. Prerequisite CMPE 030 with a minimum grade of ""C-"". Misc/Lab Lecture 2 hours/lab 3 hours.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 101,Yes,Programming Concepts and Problem Solvin,Computer Engineering,"Develop skills and proficiency in the design and implementation of solutions to computer engineering problems using structured and objective-oriented programming techniques using the C++ programming language. Prerequisite CMPE 046 with a grade of ""C-"" or better.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 102 ,Yes,Fundamentals of Embedded Software,Computer Engineering,"Assembly programming; assembly-C interface; CPU and memory organization; addressing modes; arithmetic, logic and branch instructions; arrays, pointers, subroutines, stack and procedure calls; software interrupts; multiplication, division and floating point arithmetic. Prerequisite CMPE 050 or CS 046B (with grade of ""C-"" or better)",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 104 ,Yes,Fundamentals of Software Engineering,Computer Engineering,"Measuring the software process, software process improvement. Lifecycle Models Design, Requirements Analysis. Validation and Verification. Conceptual Models in Logical languages.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 110,Yes, Electronics for Embedded Systems,Computer Engineering,"RC, RL and RLC circuit analysis, diodes and diode circuits, MOSFET and bipolar transistor I-V characteristics and circuits, TTL and CMOS logic circuits, CMOS-TTL interface, sensors and signal conditioning circuits using operational amplifiers, A/D and D/A converters, electromechanical device control.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 120,Yes, Computer Organization and Architecture,Computer Engineering,"Introduction to computer organization and architecture, system buses, internal memory and external memory, input/output, central processing unit CPU, instruction sets, CPU structure and function, RISC, control unit.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 124 ,Yes,Digital Design I,Computer Engineering,Combinational and sequential logic theory and circuits. Emphasis on mixed logic and algorithmic state machines. Design projects using standard integrated circuit packages.,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 125 ,Yes,Digital Design II,Computer Engineering,"Digital system building blocks, data path and control units, system-level RTL design, Verilog HDL for design and verification, contemporary design flow and methodology, lab experiments using industry standard CAD tools and field programmable gate array (FPGA) devices.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 126 ,Yes,Algorithms and Data Structure Design,Computer Engineering,"Object-oriented data organization and representation as strings, arrays, stacks, queues, dequeues, lists, sets, trees, tables, and graphs. Sorting and searching and algorithm design and performance analysis. Testing methods and data will be discussed.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 127 ,Yes,Microprocessor Design I,Computer Engineering,Microprocessor architecture and assembly language. Design of peripheral blocks and their interfaces to the microprocessor. Design projects using standard integrated circuit packages. ,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 130 ,Yes,Advanced Algorithm Design,Computer Engineering,"Design and analysis of data structures and algorithms. Advanced tree structures, hashing, searching and sorting. Divide-and-conquer, greedy and dynamic programming algorithm design techniques.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 131 ,Yes,Software Engineering I,Computer Engineering,"Why software engineering? What is software engineering? Software development lifecycle activities project planning and management requirements analysis, requirement specification. Software design, software testing, verification, validation, and documentation. Software quality assurance and review techniques, software maintenance, team-based projects. ",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 132,Yes, Information Security,Computer Engineering,"A study of computer and network security from centralized systems to distributed networks. Cryptology, vulnerabilities and controls. Firewalls, privacy enhanced e-mail, viruses and worms. Case studies will be featured.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 133 ,Yes,Software Engineering II,Computer Engineering,"Software Architecture, Software Technical Metrics, evaluating products, processes, and resources, improving predictions, products, processes, and resources. Advanced topics such as Formal Methods, Software Reuse, Reengineering, Client/Server Software Engineering, Computer-Aided Software Engineering, Team-Based Projects",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 135 ,Yes,Object-Oriented Analysis and Design,Computer Engineering,"Feasibility analysis and system requirements determination, object-oriented design methodology, and information systems design using object-oriented modeling techniques. Emphasis on both theoretical and practical aspects of object-oriented systems analysis and design.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 136 ,Yes,Information Engineering,Computer Engineering,"Major topics include computer-based information systems, electronic commerce, database management, network management, mobile computing, reengineering concepts, virtual office, knowledge-base systems artificial intelligence, expert systems, Computer-Aided Software/Systems Engineering (CASE)",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 137 ,Yes,Wireless Mobile Software Engineering,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 138 ,Yes,Database Systems I,Computer Engineering,"File organization and storage structure, database system architecture, entity relationship model, normalization techniques, SQL, relational algebra, storage organization, query processing, and concurrency control",San Jose State University,,,,,0,0,0,0,0,0,0,0
